                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92025,                 3.4803,                  1.348,                0.87742,                0.61974,                0.80918,                0.61608,                0.81578,                 4.4601,                 1.2371,              0.0001429,              0.0001429,              0.0001429
                      2,                0.73605,                 1.4081,                 1.0711,                0.87113,                0.84246,                0.91016,                0.75783,                0.70534,                 2.3213,                0.97073,             0.00029712,             0.00029712,             0.00029712
                      3,                0.67319,                0.92933,                 1.0007,                0.91362,                0.82166,                0.84852,                0.73735,                  0.706,                 1.2004,                0.97067,             0.00044823,             0.00044823,             0.00044823
                      4,                0.69116,                 0.8454,                0.99535,                0.81492,                0.86899,                0.88641,                0.74297,                0.61172,                 1.2864,                0.90944,             0.00059622,             0.00059622,             0.00059622
                      5,                0.74228,                0.87789,                 1.0403,                0.69826,                0.58318,                0.69117,                0.46938,                0.92863,                 2.2917,                 1.2177,              0.0007411,              0.0007411,              0.0007411
                      6,                0.77304,                0.83709,                 1.0733,                0.91159,                0.91471,                0.91447,                0.67609,                0.75555,                   1.91,                 1.0785,             0.00088287,             0.00088287,             0.00088287
                      7,                 0.7421,                0.73074,                 1.0153,                0.77845,                0.89599,                0.89712,                0.73406,                0.74542,                 2.1695,                 1.1029,              0.0010215,              0.0010215,              0.0010215
                      8,                 0.7735,                0.79953,                 1.0403,                0.68106,                0.56198,                0.55885,                0.37554,                 1.1256,                 5.2728,                 1.5165,              0.0011571,              0.0011571,              0.0011571
                      9,                0.76589,                0.80268,                 1.0347,                 0.6367,                0.55182,                 0.6588,                0.43734,                 1.0642,                  4.737,                 1.4048,              0.0012895,              0.0012895,              0.0012895
                     10,                0.82509,                0.82491,                 1.1109,                0.90196,                0.48179,                0.76228,                0.49957,                 1.0813,                 7.8268,                 1.5286,              0.0013017,              0.0013017,              0.0013017
                     11,                0.74597,                0.72508,                 1.0162,                0.83601,                0.66354,                0.80114,                0.57286,                0.94864,                 1.8253,                 1.1144,              0.0013017,              0.0013017,              0.0013017
                     12,                0.71955,                0.71655,                 1.0158,                0.61168,                0.83043,                0.88543,                0.67674,                0.83991,                 1.9119,                  1.038,              0.0012875,              0.0012875,              0.0012875
                     13,                0.72219,                0.71363,                 1.0203,                0.56297,                0.82659,                0.78231,                0.55392,                0.96667,                 1.8267,                  1.115,              0.0012734,              0.0012734,              0.0012734
                     14,                0.74717,                0.66562,                 1.0153,                0.62608,                0.73433,                0.75969,                0.51996,                 1.3447,                  3.172,                 1.5914,              0.0012592,              0.0012592,              0.0012592
                     15,                0.75919,                0.74651,                 1.0549,                0.76102,                0.80468,                0.87317,                0.68516,                0.77062,                 1.4823,                 1.0454,              0.0012451,              0.0012451,              0.0012451
                     16,                0.74297,                0.60636,                 1.0542,                0.83194,                0.80807,                0.87707,                0.67626,                 0.9876,                 1.1383,                 1.1682,              0.0012309,              0.0012309,              0.0012309
                     17,                0.74787,                0.59588,                 1.0667,                0.75275,                0.72643,                0.82826,                0.68267,                0.77157,                 1.2022,                 1.0029,              0.0012168,              0.0012168,              0.0012168
                     18,                0.73015,                0.60588,                 1.0159,                0.81642,                0.90674,                0.90821,                0.76524,                0.70735,                0.81717,                0.96418,              0.0012026,              0.0012026,              0.0012026
                     19,                 0.7248,                0.59033,                 1.0169,                0.93015,                0.88445,                0.91246,                0.76457,                0.64102,                0.82471,                0.94328,              0.0011885,              0.0011885,              0.0011885
                     20,                0.66953,                0.55783,                0.99802,                0.93364,                0.86508,                0.93789,                 0.7691,                0.72524,                0.65839,                 0.9818,              0.0011744,              0.0011744,              0.0011744
                     21,                0.70103,                0.58711,                 1.0353,                 0.9103,                0.95091,                0.95613,                0.79555,                0.71368,                 0.6813,                0.94642,              0.0011602,              0.0011602,              0.0011602
                     22,                0.71709,                0.61244,                 1.0275,                0.80594,                0.84944,                0.87941,                0.72655,                0.72322,                0.95767,                 1.0086,              0.0011461,              0.0011461,              0.0011461
                     23,                0.67245,                0.56035,                0.98284,                 0.9503,                0.91898,                0.94925,                0.80085,                0.70859,                0.75309,                 1.0193,              0.0011319,              0.0011319,              0.0011319
                     24,                0.65682,                0.56863,                0.95736,                0.98214,                0.89913,                0.96922,                0.82707,                0.63425,                0.61259,                0.89829,              0.0011178,              0.0011178,              0.0011178
                     25,                0.64145,                0.53693,                0.96556,                 0.9736,                0.90596,                0.95829,                0.84865,                0.57248,                0.59861,                0.88844,              0.0011036,              0.0011036,              0.0011036
                     26,                0.65549,                0.52262,                  0.973,                0.94407,                0.91678,                0.93349,                  0.811,                  0.617,                0.54958,                0.92174,              0.0010895,              0.0010895,              0.0010895
                     27,                0.65315,                 0.5341,                0.98414,                0.96764,                0.89644,                 0.9408,                  0.822,                0.58282,                0.43861,                0.90226,              0.0010753,              0.0010753,              0.0010753
                     28,                0.61238,                0.49045,                0.97792,                0.95135,                0.91158,                0.92769,                0.81526,                0.58498,                0.51908,                0.90518,              0.0010612,              0.0010612,              0.0010612
                     29,                0.61779,                0.49572,                0.97885,                0.97668,                0.90103,                0.94259,                0.82854,                0.53574,                0.49524,                0.87151,               0.001047,               0.001047,               0.001047
                     30,                0.62348,                0.55751,                0.97387,                 0.9639,                0.91778,                0.94169,                0.81042,                0.59085,                0.49657,                0.90874,              0.0010329,              0.0010329,              0.0010329
                     31,                0.64029,                0.51861,                 0.9765,                0.87757,                0.92063,                0.95049,                 0.8085,                0.66311,                0.57679,                0.93318,              0.0010187,              0.0010187,              0.0010187
                     32,                0.62256,                0.47137,                0.96207,                0.97578,                0.92063,                0.95831,                0.82907,                0.56102,                0.46474,                0.88797,              0.0010046,              0.0010046,              0.0010046
                     33,                0.60179,                0.46215,                0.94081,                0.97823,                0.91053,                0.96823,                0.83668,                 0.5351,                0.41299,                0.87826,             0.00099044,             0.00099044,             0.00099044
                     34,                0.60524,                0.45241,                0.95834,                0.92587,                0.87715,                0.92952,                0.79779,                0.58845,                0.49772,                0.90391,             0.00097629,             0.00097629,             0.00097629
                     35,                0.62516,                0.45928,                0.97936,                0.93175,                0.91154,                0.92132,                0.79497,                0.66729,                0.58088,                0.93375,             0.00096215,             0.00096215,             0.00096215
                     36,                0.61135,                 0.4471,                0.98674,                0.93339,                0.90766,                0.93224,                0.80228,                0.67823,                0.50474,                0.96027,               0.000948,               0.000948,               0.000948
                     37,                 0.5911,                0.43447,                0.95538,                0.92434,                0.88342,                0.92816,                0.79527,                0.57598,                0.45876,                0.90958,             0.00093385,             0.00093385,             0.00093385
                     38,                0.57205,                0.45255,                 0.9582,                 0.9508,                0.91132,                0.95479,                0.83438,                0.55665,                0.39626,                0.88882,              0.0009197,              0.0009197,              0.0009197
                     39,                0.57468,                0.43338,                0.95476,                0.95373,                0.89683,                0.95787,                0.83344,                0.56098,                0.39233,                0.87657,             0.00090556,             0.00090556,             0.00090556
                     40,                0.58626,                 0.4312,                 0.9369,                0.92141,                0.96389,                0.96498,                0.84389,                0.54671,                0.37095,                0.87078,             0.00089141,             0.00089141,             0.00089141
                     41,                0.55675,                0.43621,                0.94845,                0.91608,                0.96601,                0.96017,                 0.8425,                0.59567,                0.37907,                0.90019,             0.00087726,             0.00087726,             0.00087726
                     42,                 0.5342,                0.42566,                0.92118,                0.98366,                0.91333,                 0.9749,                0.84242,                0.58401,                0.38711,                0.88941,             0.00086312,             0.00086312,             0.00086312
                     43,                0.55949,                0.41407,                0.93128,                0.98773,                0.91316,                0.96466,                0.84085,                0.57907,                0.35861,                0.89741,             0.00084897,             0.00084897,             0.00084897
                     44,                0.58493,                0.45471,                0.94807,                0.97489,                0.91729,                0.97112,                 0.8534,                0.54171,                0.34816,                0.87551,             0.00083482,             0.00083482,             0.00083482
